Scheme Code,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,AMC Name
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.523,Aditya Birla Sun Life Mutual Fund
119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,115.9587,Aditya Birla Sun Life Mutual Fund
119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,103.9368,Aditya Birla Sun Life Mutual Fund
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,145.5934,Aditya Birla Sun Life Mutual Fund
110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.9576,Aditya Birla Sun Life Mutual Fund
108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.154,Aditya Birla Sun Life Mutual Fund
110490,INF209K01LR8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,111.738,Aditya Birla Sun Life Mutual Fund
106157,INF209K01LS6,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,103.241,Aditya Birla Sun Life Mutual Fund
108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,354.4516,Aditya Birla Sun Life Mutual Fund
103176,INF209K01LT4,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,532.0794,Aditya Birla Sun Life Mutual Fund
119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,367.4461,Aditya Birla Sun Life Mutual Fund
128952,INF846K01NF8,-,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,Axis Mutual Fund
120437,-,INF846K01CU0,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.131,Axis Mutual Fund
120438,INF846K01CR6,-,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2625.2382,Axis Mutual Fund
120439,INF846K01CT2,INF846K01CS4,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1038.0936,Axis Mutual Fund
120436,INF846K01CV8,INF846K01CW6,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.2027,Axis Mutual Fund
128953,INF846K01NG6,-,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,Axis Mutual Fund
117447,-,INF846K01CC8,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1039.1303,Axis Mutual Fund
117446,INF846K01CB0,-,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2548.3,Axis Mutual Fund
117449,INF846K01CF1,INF846K01CG9,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1037.8621,Axis Mutual Fund
117448,INF846K01CD6,INF846K01CE4,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1038.2003,Axis Mutual Fund
152164,INF0QA701649,INF0QA701631,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,10.9857,Bajaj Finserv Mutual Fund
152163,INF0QA701615,INF0QA701623,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,11.0864,Bajaj Finserv Mutual Fund
152165,INF0QA701557,-,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,11.0083,Bajaj Finserv Mutual Fund
152166,INF0QA701565,INF0QA701573,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,11.0083,Bajaj Finserv Mutual Fund
152162,INF0QA701607,-,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,11.0864,Bajaj Finserv Mutual Fund
152167,INF0QA701599,INF0QA701581,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.9157,Bajaj Finserv Mutual Fund
121936,INF194K019M8,-,BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,12.8158,Unknown AMC
127471,-,INF194KA1JD3,BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,10.4768,Unknown AMC
121934,-,INF194K010N5,BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.4775,Unknown AMC
121279,INF194K015G8,-,BANDHAN Banking & PSU Debt Fund - Direct Growth,24.5018,Unknown AMC
121281,INF194K016G6,INF194K017G4,BANDHAN Banking & PSU Debt Fund - Direct IDCW,12.8887,Unknown AMC
121935,-,INF194K011N3,BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,10.4666,Unknown AMC
121938,INF194K018M0,-,BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,10.9302,Unknown AMC
121933,INF194K015M6,-,BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.7565,Unknown AMC
127470,-,INF194KA1JC5,BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,10.8788,Unknown AMC
121931,-,INF194K016M4,BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6322,Unknown AMC
121280,INF194K01SN6,-,BANDHAN Banking & PSU Debt Fund - Regular Growth,23.8326,Unknown AMC
121282,INF194K01SO4,INF194K012D2,BANDHAN Banking & PSU Debt Fund - Regular IDCW,12.8695,Unknown AMC
121932,-,INF194K017M2,BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,10.7094,Unknown AMC
121937,INF194K014M9,-,BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,10.8299,Unknown AMC
148629,INF955L01KF1,INF955L01KG9,Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.3694,Baroda BNP Paribas Mutual Fund
148628,INF955L01KC8,-,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,12.4596,Baroda BNP Paribas Mutual Fund
148630,INF955L01KD6,INF955L01KE4,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.4707,Baroda BNP Paribas Mutual Fund
148625,INF955L01JX6,-,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,12.2059,Baroda BNP Paribas Mutual Fund
148626,INF955L01KA2,INF955L01KB0,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.2147,Baroda BNP Paribas Mutual Fund
148627,INF955L01JY4,INF955L01JZ1,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.2706,Baroda BNP Paribas Mutual Fund
150505,INF760K01KC4,-,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,11.8023,Canara Robeco Mutual Fund
150507,INF760K01KE0,INF760K01KD2,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.6697,Canara Robeco Mutual Fund
150503,INF760K01KF7,-,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,11.7106,Canara Robeco Mutual Fund
150504,INF760K01KH3,INF760K01KG5,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.5924,Canara Robeco Mutual Fund
124175,INF740K01ZW2,-,DSP Banking & PSU Debt Fund - Direct Plan - Growth,24.065,DSP Mutual Fund
124178,INF740K01A18,INF740K01A26,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.9469,DSP Mutual Fund
124182,-,INF740KA1OF7,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1578,DSP Mutual Fund
124176,INF740K01ZX0,INF740K01ZY8,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.3323,DSP Mutual Fund
124177,INF740K01ZZ5,INF740K01A00,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.3279,DSP Mutual Fund
124183,INF740KA1OG5,INF740KA1OH3,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1578,DSP Mutual Fund
124172,INF740K01ZP6,-,DSP Banking & PSU Debt Fund - Regular Plan - Growth,23.2636,DSP Mutual Fund
124174,INF740K01ZU6,INF740K01ZV4,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.9176,DSP Mutual Fund
124173,-,INF740KA1OI1,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.1558,DSP Mutual Fund
124180,INF740K01ZQ4,INF740K01ZR2,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.3196,DSP Mutual Fund
124181,INF740K01ZS0,INF740K01ZT8,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,10.3172,DSP Mutual Fund
124179,INF740KA1OJ9,INF740KA1OK7,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1558,DSP Mutual Fund
140286,INF843K01FC8,-,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,24.6228,Edelweiss Mutual Fund
140288,INF843K01FD6,INF843K01FE4,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.473,Edelweiss Mutual Fund
140291,INF843K01FG9,-,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.5599,Edelweiss Mutual Fund
140293,INF843K01FI5,INF843K01FH7,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.9519,Edelweiss Mutual Fund
140290,INF843K01FF1,-,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.552,Edelweiss Mutual Fund
140283,INF843K01FK1,-,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,23.7875,Edelweiss Mutual Fund
140284,INF843K01FL9,INF843K01FM7,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,17.682,Edelweiss Mutual Fund
140294,INF843K01FO3,-,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,14.0958,Edelweiss Mutual Fund
140292,INF843K01FQ8,INF843K01FP0,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.1947,Edelweiss Mutual Fund
140289,INF843K01FN5,-,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1468,Edelweiss Mutual Fund
129008,INF090I01KR8,-,Franklin India Banking & PSU Debt Fund - Direct - Growth,22.6617,Unknown AMC
129006,INF090I01KO5,-,Franklin India Banking & PSU Debt Fund - Growth,21.7177,Unknown AMC
129009,INF090I01KS6,INF090I01KT4,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,11.3643,Unknown AMC
129007,INF090I01KP2,INF090I01KQ0,Franklin India Banking and PSU Debt Fund - IDCW ,10.7554,Unknown AMC
128628,INF179KA1JC4,-,HDFC Banking and PSU Debt Fund - Growth Option,22.2366,HDFC Mutual Fund
128629,INF179KA1IZ7,-,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,23.124,HDFC Mutual Fund
128627,INF179KA1JD2,INF179KA1JE0,HDFC Banking and PSU Debt Fund - IDCW Option,10.1505,HDFC Mutual Fund
128626,INF179KA1JA8,INF179KA1JB6,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.041,HDFC Mutual Fund
151108,-,INF917K01HL7,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1907,HSBC Mutual Fund
151107,INF917K01HH5,-,HSBC Banking and PSU Debt Fund - Direct Growth,24.6352,HSBC Mutual Fund
151106,INF917K01HJ1,INF917K01HI3,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.251,HSBC Mutual Fund
151109,-,INF917K01HK9,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.3584,HSBC Mutual Fund
151102,-,INF677K01AF4,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.116,HSBC Mutual Fund
151104,INF677K01AE7,-,HSBC Banking and PSU Debt Fund - Regular Growth,23.4185,HSBC Mutual Fund
151105,INF677K01AI8,INF677K01AJ6,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.5641,HSBC Mutual Fund
151103,-,INF917K01HM5,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3307,HSBC Mutual Fund
112343,INF109K01WS5,INF109K01RV9,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549,ICICI Prudential Mutual Fund
112344,INF109K01WR7,INF109K01RU1,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427,ICICI Prudential Mutual Fund
130897,INF109KA1B57,-,ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889,ICICI Prudential Mutual Fund
120257,INF109K01Z89,INF109K01Z97,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538,ICICI Prudential Mutual Fund
120256,INF109K010A6,-,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,32.9837,ICICI Prudential Mutual Fund
120258,INF109K011A4,INF109K012A2,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.8305,ICICI Prudential Mutual Fund
120255,INF109K013A0,INF109K014A8,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708,ICICI Prudential Mutual Fund
130950,INF109KA1B40,-,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665,ICICI Prudential Mutual Fund
131148,INF109KA1M96,INF109KA1M88,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098,ICICI Prudential Mutual Fund
112342,INF109K01RT3,-,ICICI Prudential Banking and PSU Debt Fund - Growth,31.6802,ICICI Prudential Mutual Fund
116174,INF109K01YE1,INF109K01YD3,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.8682,ICICI Prudential Mutual Fund
131147,INF109KA1M70,INF109KA1M62,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261,ICICI Prudential Mutual Fund
113247,INF109K01WW7,INF109K01JM5,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122,ICICI Prudential Mutual Fund
113242,INF109K01II5,-,ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631,ICICI Prudential Mutual Fund
113243,INF109K01WV9,INF109K01IJ3,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305,ICICI Prudential Mutual Fund
118234,-,INF205K01JX8,Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment),1023.7128,Invesco Mutual Fund
120444,INF205K01KT4,-,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,2341.2393,Invesco Mutual Fund
120443,-,INF205K01KS6,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),1040.6319,Invesco Mutual Fund
120445,INF205K01KU2,INF205K01KV0,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1013.1464,Invesco Mutual Fund
118232,INF205K01JV2,-,Invesco India Banking and PSU Fund - Growth Option,2189.7127,Invesco Mutual Fund
118233,INF205K01JW0,INF205K01JY6,Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment),1039.9392,Invesco Mutual Fund
148534,INF00XX01861,-,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,12.9344,ITI Mutual Fund
148536,INF00XX01879,INF00XX01887,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,12.935,ITI Mutual Fund
148535,INF00XX01838,-,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,12.6284,ITI Mutual Fund
148533,INF00XX01846,INF00XX01853,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,12.6295,ITI Mutual Fund
123688,INF174K01FS4,INF174K01FR6,Kotak Banking and PSU Debt - Annual Dividend,16.1842,Unknown AMC
123858,-,INF174K01SD9,Kotak Banking and PSU Debt - Daily Dividend Reinvestment,10.188,Unknown AMC
123859,INF174K01SE7,-,Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,10.2604,Unknown AMC
123690,INF174K01FO3,-,Kotak Banking and PSU Debt - Growth,63.2127,Unknown AMC
123691,INF174K01FQ8,INF174K01FP0,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,11.8762,Unknown AMC
123689,INF174K01KI5,INF174K01KJ3,Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427,Unknown AMC
123693,INF174K01KH7,-,Kotak Banking and PSU Debt Direct - Growth,65.7806,Unknown AMC
123692,INF174K01KK1,-,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2629,Unknown AMC
120337,INF767K01GJ2,INF767K01GM6,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,14.3147,LIC Mutual Fund
120338,INF767K01GI4,-,LIC MF Banking & PSU Fund-Direct Plan-Growth,36.1648,LIC Mutual Fund
120339,INF767K01GK0,INF767K01GN4,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,13.6201,LIC Mutual Fund
120336,INF767K01GL8,INF767K01GO2,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,10.0587,LIC Mutual Fund
105822,INF767K01519,INF767K01527,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,11.1361,LIC Mutual Fund
105823,INF767K01535,-,LIC MF Banking & PSU Fund-Regular Plan-Growth,33.5913,LIC Mutual Fund
105856,INF767K01543,INF767K01550,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,12.572,LIC Mutual Fund
105857,INF767K01568,INF767K01576,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,10.2278,LIC Mutual Fund
148419,INF769K01FY9,-,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,12.8014,Mirae Asset Mutual Fund
148417,INF769K01FX1,INF769K01FZ6,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,12.7975,Mirae Asset Mutual Fund
148416,INF769K01FV5,-,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,12.5412,Mirae Asset Mutual Fund
148418,INF769K01FU7,INF769K01FW3,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,12.5423,Mirae Asset Mutual Fund
134552,INF204KA1U61,-,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,20.771,Nippon India Mutual Fund
134547,INF204KA1U53,-,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,20.7706,Nippon India Mutual Fund
134546,INF204KA1T64,-,Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option,12.3452,Nippon India Mutual Fund
134545,INF204KA1T56,-,Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,20.0417,Nippon India Mutual Fund
134555,INF204KA1U79,INF204KA1U87,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,20.7706,Unknown AMC
134550,INF204KA1V37,INF204KA1V45,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,10.7183,Unknown AMC
134556,INF204KA1U95,INF204KA1V03,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,10.9144,Unknown AMC
134554,INF204KA1V11,INF204KA1V29,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,10.3109,Unknown AMC
134548,INF204KA1T72,INF204KA1T80,NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,20.0417,Unknown AMC
134549,INF204KA1U38,INF204KA1U46,NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,10.6514,Unknown AMC
134551,INF204KA1T98,INF204KA1U04,NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,10.8512,Unknown AMC
134553,INF204KA1U12,INF204KA1U20,NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,10.3112,Unknown AMC
125502,-,INF200K01V16,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1407.5136,SBI Mutual Fund
125503,INF200K01V08,-,SBI BANKING & PSU FUND - Direct Plan - Growth,3195.4612,SBI Mutual Fund
125505,INF200K01V40,INF200K01V57,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1281.179,SBI Mutual Fund
125504,INF200K01V32,INF200K01V24,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1404.3856,SBI Mutual Fund
125498,INF200K01U41,-,SBI BANKING & PSU FUND - Regular Paln - Growth,3011.0228,SBI Mutual Fund
125499,-,INF200K01U58,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1373.7129,SBI Mutual Fund
125501,INF200K01U82,INF200K01U90,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1204.6586,SBI Mutual Fund
125500,INF200K01U74,INF200K01U66,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1373.4193,SBI Mutual Fund
134363,INF903J017I5,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,11.7065,Sundaram Mutual Fund
134370,INF903J012J4,INF903J013J2,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,11.4008,Sundaram Mutual Fund
134369,INF903J019I1,INF903J014J0,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,10.6356,Sundaram Mutual Fund
134355,INF903J016I7,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,11.6319,Sundaram Mutual Fund
134358,-,INF903J010I0,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,11.6582,Sundaram Mutual Fund
134356,INF903J016H9,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,11.6493,Sundaram Mutual Fund
134359,INF903J018H5,INF903J012I6,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,11.1411,Sundaram Mutual Fund
134361,INF903J014I2,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,11.1681,Sundaram Mutual Fund
134362,INF903J019H3,INF903J013I4,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,11.0236,Sundaram Mutual Fund
134360,INF903J017H7,INF903J011I8,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,10.1418,Sundaram Mutual Fund
119629,INF903J01RI4,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,21.0903,Sundaram Mutual Fund
119627,-,INF903J01PC1,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.23,Sundaram Mutual Fund
119625,INF903J01PA5,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,42.1579,Sundaram Mutual Fund
119626,INF903J01PB3,INF903J01PE7,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5212,Sundaram Mutual Fund
118326,INF903J01LY4,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,20.9719,Sundaram Mutual Fund
100782,-,INF903J01IP8,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.355,Sundaram Mutual Fund
100784,INF903J01IN3,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,41.5885,Sundaram Mutual Fund
100793,INF903J01IO1,INF903J01IR4,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5739,Sundaram Mutual Fund
100783,-,INF903J01IQ6,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.1035,Sundaram Mutual Fund
100781,INF903J01IK9,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,35.6206,Sundaram Mutual Fund
100780,INF903J01IL7,INF903J01IM5,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.4908,Sundaram Mutual Fund
148656,INF0GCD01107,-,TRUSTMF BANKING & PSU FUND - DIRECT GROWTH,1253.5612,Unknown AMC
148655,INF0GCD01016,-,TRUSTMF BANKING & PSU FUND - REGULAR GROWTH,1228.3428,Unknown AMC
148672,INF0GCD01180,INF0GCD01172,TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1135.2736,Unknown AMC
148678,-,INF0GCD01115,TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1255.9583,Unknown AMC
148681,INF0GCD01149,INF0GCD01131,TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1112.297,Unknown AMC
148670,INF0GCD01164,INF0GCD01156,TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1132.1175,Unknown AMC
148675,-,INF0GCD01123,TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1093.0398,Unknown AMC
148669,INF0GCD01099,INF0GCD01081,TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1111.1582,Unknown AMC
148667,-,INF0GCD01024,TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1192.5796,Unknown AMC
148674,INF0GCD01057,INF0GCD01040,TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1094.8927,Unknown AMC
148668,INF0GCD01073,INF0GCD01065,TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1109.5532,Unknown AMC
148679,-,INF0GCD01032,TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1077.8609,Unknown AMC
140135,INF789FA1V03,INF789FA1V11,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,13.2266,UTI Mutual Fund
133972,INF789FA1V29,INF789FA1V37,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,18.5617,UTI Mutual Fund
126940,INF789F015Z6,-,UTI Banking & PSU Fund - Direct Plan - Growth Option,21.5401,UTI Mutual Fund
141375,INF789FA1U87,INF789FA1U95,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,14.2934,UTI Mutual Fund
